site,destination,code
solresor,Durres Riviera,203
solresor,Burgas,260
solresor,Cypern,43
solresor,Hurghada,44
solresor,Dubai,200
solresor,Atens riviera,45
solresor,Halkidiki,231
solresor,Korfu,50
solresor,Kos,46
solresor,Kreta Chaniakusten,47
solresor,Kreta Heraklion,255
solresor,Rhodos,48
solresor,Samos,311
solresor,Zakynthos,51
solresor,Amalfikusten,58
solresor,Kalabrien,60
solresor,Sardinien (norra),253
solresor,Sicilien (nordvästra),254
solresor,Sicilien (sydöstra),52
solresor,Kap Verde,243
solresor,Dubrovnik,186
solresor,Istrien,185
solresor,Makarska,184
solresor,Maldiverna,65
solresor,Malta,66
solresor,Mauritius,68
solresor,Cancun,251
solresor,Playa Del Carmen,250
solresor,Budvanska Rivieran,71
solresor,Algarve,73
solresor,Azorerna,247
solresor,Cascais,75
solresor,Lissabon,74
solresor,Madeira,77
solresor,Seychellerna,78
solresor,Barcelona,223
solresor,Costa Blanca,211
solresor,Costa de Almeria,214
solresor,Costa del Sol,205
solresor,Costa Tropical,458
solresor,Fuerteventura,37
solresor,Gran Canaria,36
solresor,Ibiza,41
solresor,La Palma,40
solresor,Mallorca,35
solresor,Teneriffa,30
solresor,Ao Nang,83
solresor,Khao Lak,259
solresor,Koh Lanta,190
solresor,Phuket,84
solresor,Alanya,85
solresor,Antalya,88
solresor,Belek,87
solresor,Kusadasi,573
solresor,Side,86
norwegianholidays,Tirana,TIA
norwegianholidays,Sarajevo,SJJ
norwegianholidays,Burgas,BOJ
norwegianholidays,Varna,VAR
norwegianholidays,Larnaca,LCA
norwegianholidays,Aalborg,AAL
norwegianholidays,Billund,BLL
norwegianholidays,Köpenhamn,CPH
norwegianholidays,Cairo,CAI
norwegianholidays,Hurghada,HRG
norwegianholidays,Tallinn,TLL
norwegianholidays,Helsingfors,HEL
norwegianholidays,Rovaniemi,RVN
norwegianholidays,Bordeaux,BOD
norwegianholidays,Korsika,BIA
norwegianholidays,Lyon,LYS
norwegianholidays,Montpellier,MPL
norwegianholidays,Nice,NCE
norwegianholidays,Paris,PAR
norwegianholidays,Toulouse,TLS
norwegianholidays,Dubai,DXB
norwegianholidays,Aten,ATH
norwegianholidays,Chania (Kreta),CHQ
norwegianholidays,Heraklion (Kreta),HER
norwegianholidays,Korfu,CFU
norwegianholidays,Lefkas,PVK
norwegianholidays,Rhodos,RHO
norwegianholidays,Santorini,JTR
norwegianholidays,Thessaloniki,SKG
norwegianholidays,Dublin,DUB
norwegianholidays,Reykjavik,REK
norwegianholidays,Amalfikusten,AMF
norwegianholidays,Bari,BRI
norwegianholidays,Bologna,BLQ
norwegianholidays,Catania (Sicilien),CTA
norwegianholidays,Milano,MIL
norwegianholidays,Neapel,NAP
norwegianholidays,Palermo (Sicilien),PMO
norwegianholidays,Pisa,PSA
norwegianholidays,Rimini,RMI
norwegianholidays,Rom,ROM
norwegianholidays,Sardinien,OLB
norwegianholidays,Venedig,VCE
norwegianholidays,Verona,VRN
norwegianholidays,Prishtina,PRN
norwegianholidays,Dubrovnik,DBV
norwegianholidays,Pula - Istria,PUY
norwegianholidays,Split-regionen,SPU
norwegianholidays,Zadar,ZAD
norwegianholidays,Riga,RIX
norwegianholidays,Palanga/Klaipedia,PLQ
norwegianholidays,Vilnius,VNO
norwegianholidays,Gozo,GZO
norwegianholidays,Malta,MLA
norwegianholidays,Agadir,AGA
norwegianholidays,Marrakech,RAK
norwegianholidays,Tivat,TIV
norwegianholidays,Amsterdam,AMS
norwegianholidays,Skopje,SKP
norwegianholidays,Bergen,BGO
norwegianholidays,Bodø,BOO
norwegianholidays,Harstad-Narvik,EVE
norwegianholidays,Haugesund,HAU
norwegianholidays,Kristiansand,KRS
norwegianholidays,Longyearbyen - Svalbard,LYR
norwegianholidays,Molde,MOL
norwegianholidays,Oslo,OSL
norwegianholidays,Stavanger,SVG
norwegianholidays,Tromsö,TOS
norwegianholidays,Trondheim,TRD
norwegianholidays,Ålesund,AES
norwegianholidays,Gdansk,GDN
norwegianholidays,Krakow,KRK
norwegianholidays,Stettin,SZZ
norwegianholidays,Warszawa,WAW
norwegianholidays,Wroclaw,WRO
norwegianholidays,Algarve,FAO
norwegianholidays,Lissabon,LIS
norwegianholidays,Madeira,FNC
norwegianholidays,Porto,OPO
norwegianholidays,Bukarest,OTP
norwegianholidays,Basel-Mullhouse,BSL
norwegianholidays,Genève,GVA
norwegianholidays,Belgrad,BEG
norwegianholidays,Ljubljana,LJU
norwegianholidays,Barcelona,BCN
norwegianholidays,Bilbao,BIO
norwegianholidays,Costa Blanca,ALC
norwegianholidays,Costa Brava,GRO
norwegianholidays,Costa Dorada,SIT
norwegianholidays,Costa del Sol,AGP
norwegianholidays,Gran Canaria,LPA
norwegianholidays,Lanzarote,ACE
norwegianholidays,Madrid,MAD
norwegianholidays,Mallorca,PMI
norwegianholidays,Teneriffa,TFS
norwegianholidays,Valencia,VLC
norwegianholidays,Edinburgh,EDI
norwegianholidays,London,LON
norwegianholidays,Manchester,MAN
norwegianholidays,Gotland,VBY
norwegianholidays,Luleå,LLA
norwegianholidays,Malmö,MMX
norwegianholidays,Stockholm,STO
norwegianholidays,Umeå,UME
norwegianholidays,Prag,PRG
norwegianholidays,Istanbul,IST
norwegianholidays,Södra Turkiet,AYT
norwegianholidays,Berlin,BER
norwegianholidays,Düsseldorf,DUS
norwegianholidays,Hamburg,HAM
norwegianholidays,München,MUC
norwegianholidays,Budapest,BUD
norwegianholidays,Wien,VIE
mixxtravel,Antalya,357
mixxtravel,Alanya,360
mixxtravel,Antalya Stad,361
mixxtravel,Belek,362
mixxtravel,Kemer,363
mixxtravel,Side,364
mixxtravel,Turkiets västkust,367
mixxtravel,Kusadasi,380
mixxtravel,Antalya Flygplats,358
mixxtravel,Cesme,382
mixxtravel,Izmir Stad,384
mixxtravel,Kreta,387
mixxtravel,Chania,390
mixxtravel,Rethtmnon,391
mixxtravel,Heraklion,392
mixxtravel,Rhodos,394
mixxtravel,Rhodos Stad,396
mixxtravel,Ixia,397
mixxtravel,Ialyssos,398
mixxtravel,Theologos,399
mixxtravel,Faliraki,400
mixxtravel,Kallithea,401
mixxtravel,Afandou,402
mixxtravel,Kolymbia,403
mixxtravel,Lindos,404
mixxtravel,Lardos,405
mixxtravel,Kremasti,406
mixxtravel,Mallorca,409
mixxtravel,Palma de Mallorca Flygplats,410
mixxtravel,Alicante,607
mixxtravel,Izmir Flygplats,370
mixxtravel,Chania Flygplats,388


ving,Antigua,82463
ving,Antigua,82422
ving,Aruba,11
ving,Aruba,427
ving,Barbados,82461
ving,Barbados,82421
ving,Belgien,14
ving,Belgian Grand Prix,102457
ving,Bryssel,347
ving,Brasilien,15
ving,Buzios,94521
ving,Rio de Janeiro,428
ving,Bulgarien,16
ving,Alla resmål,-1
ving,Burgas,57927
ving,Nessebar,241
ving,Sunny Beach,270
ving,Varna,57728
ving,Albena,224
ving,Balchik,345
ving,Golden Sands,327
ving,Curaçao,51
ving,Curaçao,454
ving,Cypern,22
ving,Cypern,89600
ving,Ayia Napa,319
ving,Larnaca,282
ving,Limassol,3836
ving,Protaras/Fig Tree Bay,208
ving,Danmark,24
ving,Köpenhamn,272
ving,Dominikanska republiken,8376
ving,Puerto Plata,104228
ving,Cabarete,8378
ving,Playa Dorada,8380
ving,Punta Cana-området,104453
ving,Bayahibe,37639
ving,Punta Cana,8375
ving,Egypten,25
ving,Hurghada-området,34001
ving,El Gouna,251
ving,Hurghada,311
ving,Makadi Bay,297
ving,Estland,26
ving,Tallinn,440
ving,Finland,149438
ving,Helsingfors,362
ving,Frankrike,29
ving,Franska rivieran,104
ving,Antibes/Juan les Pins,76224
ving,Cannes,212
ving,Monaco Grand Prix,102439
ving,Nice,300
ving,Korsika,104692
ving,Bastia,104693
ving,Calvi,104709
ving,L'Île-Rousse,104710
ving,Paris,136
ving,Disneyland® Paris,336
ving,Paris,309
ving,Förenade Arabemiraten,72
ving,Abu Dhabi,60826
ving,Abu Dhabi Grand Prix,102435
ving,Ajman,86049
ving,Dubai,26211
ving,Bur Dubai,72516
ving,Deira,72514
ving,Downtown Dubai,72515
ving,Dubai Parks and Resorts,124037
ving,Jebel Ali,72517
ving,Jumeirah Beach,598
ving,La Mer Beach,158616
ving,Fujairah,67539
ving,Ras Al Khaimah,67540
ving,Gambia,30
ving,Gambia,264
ving,Grekland,32
ving,Alonissos,71242
ving,Aten,220
ving,Halkidiki,89166
ving,Kalymnos,113
ving,Kantouni,39188
ving,Mirties & Massouri,334
ving,Pothia,90062
ving,Korfu,83879
ving,Acharavi,102670
ving,Agios Gordios,83880
ving,Dassia,83892
ving,Gouvia,83900
ving,Korfu stad,83910
ving,Moraitika,102659
ving,Kos,115
ving,Kardamena,31084
ving,Kos stad,188
ving,Marmari & Tigaki,103994
ving,Kreta,99
ving,Agios Nikolaos,310
ving,"Chaniakusten, Agia Marina",183
ving,"Chaniakusten, Chania stad",276
ving,"Chaniakusten, Gerani",238
ving,"Chaniakusten, Kato Daratso & Agii Apostoli",280
ving,"Chaniakusten, Kato Stalos & Kalamaki",584
ving,"Chaniakusten, Kolimbari",371
ving,"Chaniakusten, Maleme",481
ving,"Chaniakusten, Platanias",288
ving,Elounda,84811
ving,Georgioupolis,107100
ving,"Hersonissos, Stalis & Malia",221
ving,Ierapetra,80165
ving,Makrigialos,275
ving,Rethymnon,177
ving,Lefkas,119
ving,Nidri,248
ving,Parga-området,135
ving,Ammoudia,101956
ving,Paleros,232
ving,Parga,263
ving,Sivota,101686
ving,Rhodos,139
ving,Faliraki,211
ving,Kallithea,267
ving,Kiotari,34330
ving,Kolymbia,61953
ving,Lardos,33261
ving,Lindos,167
ving,Rhodos stad,203
ving,Rhodos västkust,339
ving,Samos,141
ving,Pythagorion,157623
ving,Santorini,83678
ving,Imerovigli,83679
ving,Kamari,83680
ving,Oia,83681
ving,Thira,83682
ving,Skiathos,145
ving,Megali Ammos,234
ving,Skiathos stad,108262
ving,Västra Skiathos,108261
ving,Skopelos,312
ving,Symi,71221
ving,Telendos,13344
ving,Thassos,77371
ving,Golden Beach,77450
ving,Limenaria,77375
ving,Potos,77379
ving,Skala Prinos,88160
ving,Skala Rachoni,77993
ving,Thassos stad,77372
ving,Thessaloniki,89164
ving,Tilos,152
ving,Livadia,261
ving,Indien,35
ving,Goa,37560
ving,Norra Goa,3815
ving,Södra Goa,3817
ving,Indonesien,36
ving,Bali,85
ving,Candidasa,26779
ving,Kuta Beach,317
ving,Lovina Beach,26780
ving,Nusa Dua,214
ving,Sanur,271
ving,Seminyak,112219
ving,Ubud,528
ving,Irland,37
ving,Dublin,161
ving,Island,34
ving,Reykjavik,394
ving,Italien,39
ving,Amalfikusten,81
ving,Capri,335
ving,Positano,421
ving,Sorrento,291
ving,Bergamo,591
ving,Bologna,530
ving,Italian Grand Prix,102458
ving,Milano,383
ving,Neapel,57587
ving,Rom,269
ving,Sardinien,142
ving,Costa Smeralda,83161
ving,Sicilien,144
ving,Cefalu,65489
ving,Giardini - Naxos,65494
ving,Taormina,65476
ving,Toscana,103475
ving,Florens,355
ving,Forte dei Marmi,103476
ving,Pisa,76659
ving,Viareggio,103479
ving,Venedig,404
ving,Verona,406
ving,Jamaica,42720
ving,Jamaica,127342
ving,Lucea,67180
ving,Montego Bay,42721
ving,Negril,42722
ving,Japan,109752
ving,Tokyo,109753
ving,Kanada,18
ving,Toronto,402
ving,Kap Verde,54906
ving,Kap Verde,54907
ving,Kina,19
ving,Hong Kong,109757
ving,Kroatien,20
ving,Brac,90617
ving,Supetar,90619
ving,Dubrovnik-området,80098
ving,Cavtat,80099
ving,Dubrovnik,352
ving,Hvar,80063
ving,Hvar stad,39968
ving,Istrien,75703
ving,Opatija,75704
ving,Porec,75724
ving,Rovinj,75805
ving,Vrsar,75827
ving,Makarska rivieran,80056
ving,Baska Voda,80057
ving,Brela,80058
ving,Gradac,80059
ving,Makarska,80060
ving,Tucepi,80062
ving,Split-området,80035
ving,Split,217
ving,Trogir,80660
ving,Kuba,21
ving,Havanna,478
